id,sentence,annotator1_entities,annotator2_entities,notes
1,నరేంద్ర మోదీ హైదరాబాద్ లో సభను ఉద్దేశించి మాట్లాడారు,"నరేంద్ర మోదీ=PER, హైదరాబాద్=LOC","నరేంద్ర మోదీ=PER, హైదరాబాద్=LOC",Clear PER and LOC
2,టాటా కన్సల్టెన్సీ సర్వీసెస్ హైదరాబాద్ లో కొత్త కార్యాలయం తెరిచింది,"టాటా కన్సల్టెన్సీ సర్వీసెస్=ORG, హైదరాబాద్=LOC","టాటా కన్సల్టెన్సీ సర్వీసెస్=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
3,చంద్రబాబు నాయుడు అమరావతిని రాజధానిగా ప్రకటించారు,"చంద్రబాబు నాయుడు=PER, అమరావతి=LOC","చంద్రబాబు నాయుడు=PER, అమరావతి=LOC",Clear PER and LOC
4,విశాఖపట్నం లో భారత నౌకాదళం విన్యాసాలు నిర్వహించింది,"విశాఖపట్నం=LOC, భారత నౌకాదళం=ORG","విశాఖపట్నం=LOC, భారత నౌకాదళం=ORG",Naval force treated as ORG
5,ఇన్ఫోసిస్ బెంగళూరు లో ప్రధాన కార్యాలయం కలిగి ఉంది,"ఇన్ఫోసిస్=ORG, బెంగళూరు=LOC","ఇన్ఫోసిస్=ORG, బెంగళూరు=LOC",Clear ORG and LOC
6,సచిన్ టెండూల్కర్ ముంబైకి చెందిన ప్రసిద్ధ క్రికెటర్,"సచిన్ టెండూల్కర్=PER, ముంబై=LOC","సచిన్ టెండూల్కర్=PER, ముంబై=LOC",Morphological suffix -కి removed from LOC
7,గూగుల్ హైదరాబాద్ లో పరిశోధన కేంద్రం స్థాపించింది,"గూగుల్=ORG, హైదరాబాద్=LOC","గూగుల్=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
8,రాహుల్ గాంధీ ఢిల్లీ నుండి పార్లమెంట్ సభ్యుడు,"రాహుల్ గాంధీ=PER, ఢిల్లీ=LOC, పార్లమెంట్=ORG","రాహుల్ గాంధీ=PER, ఢిల్లీ=LOC",Annotator disagreement: పార్లమెంట్ as ORG vs not annotated
9,పవన్ కళ్యాణ్ పిఠాపురం నుండి ఎన్నికలలో గెలిచారు,"పవన్ కళ్యాణ్=PER, పిఠాపురం=LOC","పవన్ కళ్యాణ్=PER, పిఠాపురం=LOC",Clear PER and LOC
10,అదానీ గ్రూప్ విశాఖపట్నం రేవులో పెట్టుబడి పెట్టింది,"అదానీ గ్రూప్=ORG, విశాఖపట్నం=LOC","అదానీ గ్రూప్=ORG, విశాఖపట్నం=LOC",Clear ORG and LOC
